Genre,Runtime,Studio,movienane,year
Action,102 minutes,Sony Pictures Entertainment,The Bedford Incident,1965
Action,109 minutes,Paramount Home Video,Beverly Hills Cop III,1994
Action,99 minutes,Warner Home Video,Above the Law,1988
Action,92 minutes,Freestyle Releasing,Aftermath,2014
Action,98 minutes,20th Century Fox,The Croods,2013
Action,101 minutes,Warner Bros.,16 Blocks,2006
Action,96 minutes,Warner Bros.,Sully,2016
Action,106 minutes,Lionsgate,Convoy,1978
Action,100 minutes,Warner Home Video,Stagecoach,1939
Action,100 minutes,Sony Pictures Entertainment,The 3 Worlds of Gulliver,1960
Action,87 minutes,Warner Bros. Pictures,Cats & Dogs,2001
Action,109 minutes,Universal Pictures,Cirque du Freak: The Vampire's Assistant,2009
Action,100 minutes,Warner Bros. Pictures,I Am Legend,2007
Action,94 minutes,Dreamworks,Wallace & Gromit: The Curse of the Were-Rabbit,2005
Action,127 minutes,MPI Media Group,"The Good, the Bad, the Weird (Joheun-nom, Nabbeun-nom, Isanghan-nom)",2010
Action,114 minutes,Paramount Pictures,Beowulf,2007
Action,129 minutes,Sony Pictures Home Entertainment,Starship Troopers,1997
Action,105 minutes,Warner Home Video,Assassins,1995
Action,90 minutes,Sun and Moon Films,Brush With Danger,2014
Action,90 minutes,New Line Cinema,Rush Hour 2,2001
Action,98 minutes,MCA Universal Home Video,Timecop,1994
Action,111 minutes,Walt Disney Pictures,The Jungle Book,2016
Action,99 minutes,MGM,Rocky III,1982
Action,112 minutes,Sony Pictures Home Entertainment,In God's Hands,1998
Action,107 minutes,20th Century Fox,12 Rounds,2009
Action,85 minutes,20th Century Fox Film Corporation,The Black Swan,1942
Action,132 minutes,20th Century Fox,Those Magnificent Men in Their Flying Machines,1965
Action,114 minutes,Sony Classic Pictures,Curse of the Golden Flower,2006
Action,102 minutes,Well Go USA,Ip Man: The Final Fight,2013
Action,130 minutes,Cinema Asia Releasing,Ddongpari (Breathless),2009
Action,96 minutes,Magnolia Pictures,Ragnarok,2014
Action,102 minutes,Warner Bros.,A Sound of Thunder,2005
Action,121 minutes,Tartan Films,Sympathy for Mr. Vengeance,2002
Action,101 minutes,Sony Pictures,xXx: State of the Union,2005
Action,132 minutes,MGM Home Entertainment,Battle of Britain,1969
Action,94 minutes,RLJ Entertainment/Image Entertainment,The Outsider,2014
Action,109 minutes,Warner Home Video,Dead Bang,1989
Action,107 minutes,Sony Pictures,This Is the End,2013
Action,93 minutes,Studio Not Available,I Am Vengeance,2018
Action,95 minutes,Walt Disney Pictures,Atlantis - The Lost Empire,2001
Action,106 minutes,Twentieth Century Fox Home Entertainment,Chain Reaction,1996
Action,100 minutes,IFC Films,A Lonely Place to Die,2011
Action,96 minutes,Buena Vista Pictures,Camp Nowhere,1994
Action,82 minutes,Sony Pictures Entertainment,The Missing,2003
Action,98 minutes,Dreamworks Distribution LLC,The Tuxedo,2002
Action,118 minutes,Paramount Pictures,G.I. Joe: The Rise of Cobra,2009
Action,100 minutes,The American Film Company,Against The Sun,2015
Action,92 minutes,Peace Arch Entertainment,Towards Darkness,2007
Action,84 minutes,Summit Entertainment,Next Day Air,2009
Action,97 minutes,Warner Bros. Pictures,The Bucket List,2007
Action,157 minutes,Eros International,Agent Vinod,2012
Action,95 minutes,Universal Pictures,Thunderbirds,2004
Action,121 minutes,New Line Cinema,Blade,1998
Action,100 minutes,Paramount Pictures,My Side of the Mountain,1969
Action,96 minutes,RKO Pictures,Fun & Fancy Free,1947
Action,125 minutes,Walt Disney Pictures,Tron Legacy,2010
Action,170 minutes,Warner Bros.,The Hobbit: An Unexpected Journey,2012
Action,110 minutes,MGM/UA,Antitrust,2001
Action,133 minutes,Paramount Classics,And Now Ladies & Gentlemen,2003
Action,112 minutes,Embargo Films,High-Rise,2016
Action,102 minutes,Warner Home Video,The Animatrix,2003
Action,95 minutes,Lions Gate Films,Civil Brand,2003
Action,98 minutes,RLJ/Image Entertainment,Rage,2014
Action,112 minutes,Sony Pictures/Screen Gems,District 9,2009
Action,100 minutes,Sony Pictures Home Entertainment,Beautiful,2000
Action,90 minutes,Universal/Rogue Pictures,MacGruber,2010
Action,92 minutes,Saban Films,24 Hours to Live,2017
Action,96 minutes,Swift Distribution,3-4x juugatsu (Boiling Point),1990
Action,100 minutes,Sony Pictures Home Entertainment,The New Adventures of Pippi Longstocking,1988
Action,161 minutes,Columbia Pictures,The Bridge on the River Kwai,1957
Action,127 minutes,Walt Disney Pictures,Oz the Great and Powerful,2013
Action,88 minutes,Buena Vista Pictures,Tarzan,1999
Action,124 minutes,Paramount Pictures,Captain America: The First Avenger,2011
